Week,Gross,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Capacity,Show_Name,Type,Year,Month,Season
1/6/08,759972,919903,0.8261,71.7,250,10599,13528,0.783,Legally Blonde,Musical,2008,1,Winter
1/6/08,343967,672857,0.5112,58.13,200,5917,8267,0.716,Rent,Musical,2008,1,Winter
1/6/08,646678,801792,0.8065,77.37,201.25,8358,8720,0.958,Spring Awakening,Musical,2008,1,Winter
1/6/08,878076,853969,1.0282,96.79,251.25,9072,8976,1.011,Les Mis Rables,Musical,2008,1,Winter
1/6/08,1130940,1036499,1.0911,93.28,251.5,12124,12024,1.008,The Little Mermaid,Musical,2008,1,Winter
1/6/08,905526,868876,1.0422,87.14,250,10392,10776,0.964,Cyrano De Bergerac,Play,2008,1,Winter
1/6/08,230226,727040,0.3167,58.76,90,3918,8376,0.468,Cymbeline,Play,2008,1,Winter
1/6/08,240757,537173,0.4482,64.7,226.5,3721,6240,0.596,The Seafarer,Play,2008,1,Winter
1/6/08,257836,456768,0.5645,59.44,175,4338,5472,0.793,The 25Th Annual Putnam County Spelling Bee,Play,2008,1,Winter
1/6/08,113696,259540,0.4381,48.26,96.25,2356,2960,0.796,The 39 Steps,Play,2008,1,Winter
1/6/08,1229925,846719,1.4526,124.8,351.5,9855,9776,1.008,Jersey Boys,Musical,2008,1,Winter
1/6/08,338178,539987,0.6263,73.84,201.25,4580,5572,0.822,Avenue Q,Musical,2008,1,Winter
1/6/08,669303,688256,0.9725,90.39,251.5,7405,7504,0.987,Grease,Musical,2008,1,Winter
1/6/08,1080290,1195594,0.9036,80,250,13504,14328,0.942,Mary Poppins,Musical,2008,1,Winter
1/6/08,893398,1000000,0.8934,73.01,201.25,12236,12856,0.952,The Phantom Of The Opera,Musical,2008,1,Winter
1/6/08,335279,639722,0.5241,62.04,226.5,5404,8656,0.624,The Homecoming,Play,2008,1,Winter
1/6/08,502712,792383,0.6344,65.58,301.25,7666,8552,0.896,A Chorus Line,Musical,2008,1,Winter
1/6/08,445912,733475,0.6079,67.09,226.5,6646,8592,0.774,Rock  Nroll,Musical,2008,1,Winter
1/6/08,276381,699710,0.395,60.31,201.5,4583,8040,0.57,The Farnsworth Invention,Play,2008,1,Winter
1/6/08,230398,501040,0.4598,69.88,226.25,3297,4768,0.691,Xanadu,Musical,2008,1,Winter
1/6/08,770006,1181638,0.6516,91.53,251.25,8413,12026,0.7,The Color Purple,Musical,2008,1,Winter
1/6/08,559642,1075464,0.5204,71.76,251.5,7799,11376,0.686,Curtains,Play,2008,1,Winter
1/6/08,1294953,1232795,1.0504,99.8,251.25,12975,13232,0.981,The Lion King,Musical,2008,1,Winter
1/6/08,816353,1060505,0.7698,80.6,251.25,10128,10486,0.966,Mamma Mia ,Musical,2008,1,Winter
1/6/08,561857,808782,0.6947,75.09,251.25,7482,8640,0.866,Chicago,Musical,2008,1,Winter
1/6/08,216570,544723,0.3976,47.42,226.5,4567,7376,0.619,Is He Dead ,Play,2008,1,Winter
1/6/08,785790,1061843,0.74,74.69,240,10520,11424,0.921,Hairspray,Musical,2008,1,Winter
1/6/08,647223,1638716,0.395,57.68,159.5,11220,20472,0.548,Drseusshow The Grinch Stole Christmas ,Musical,2008,1,Winter
1/6/08,1494991,1308816,1.1422,103.3,300,14472,14472,1,Wicked,Musical,2008,1,Winter
1/6/08,828149,1031323,0.803,75.59,251.25,10956,11528,0.95,Spamalot,Musical,2008,1,Winter
1/6/08,545945,899074,0.6072,70,176.5,7799,11512,0.677,Augustosage County,Play,2008,1,Winter
1/6/08,362138,687133,0.527,58.55,251.5,6185,8464,0.731,November,Play,2008,1,Winter
1/6/08,87185,279900,0.3115,49.23,91.5,1771,3250,0.545,Come Back Little Sheba,Play,2008,1,Winter
1/6/08,259101,599676,0.4321,73.9,251.5,3506,7592,0.462,A Bronx Tale,Play,2008,1,Winter
1/13/08,504241,1075464,0.4689,67.64,251.5,7455,11376,0.655,Curtains,Play,2008,1,Winter
1/13/08,367582,560298,0.656,67.24,201.25,5467,6368,0.859,Avenue Q,Musical,2008,1,Winter
1/13/08,659488,1031323,0.6395,68.73,251.25,9596,11528,0.832,Spamalot,Musical,2008,1,Winter
1/13/08,229137,544723,0.4206,45.17,226.5,5073,7376,0.688,Is He Dead ,Play,2008,1,Winter
1/13/08,646082,1000000,0.6461,61.57,201.25,10493,12856,0.816,The Phantom Of The Opera,Musical,2008,1,Winter
1/13/08,564954,786579,0.7182,84.89,251.5,6655,8576,0.776,Grease,Musical,2008,1,Winter
1/13/08,349471,792383,0.441,61.64,301.25,5670,8552,0.663,A Chorus Line,Musical,2008,1,Winter
1/13/08,393713,687133,0.573,63.83,251.5,6168,8464,0.729,November,Play,2008,1,Winter
1/13/08,834991,1195594,0.6984,71.55,250,11670,14328,0.814,Mary Poppins,Musical,2008,1,Winter
1/13/08,552541,1061843,0.5204,67.71,240,8160,11424,0.714,Hairspray,Musical,2008,1,Winter
1/13/08,530107,919903,0.5763,68.02,250,7793,13528,0.576,Legally Blonde,Musical,2008,1,Winter
1/13/08,209777,517750,0.4052,48.15,96.25,4357,5912,0.737,The 39 Steps,Play,2008,1,Winter
1/13/08,152027,447840,0.3395,49.31,91.5,3083,5200,0.593,Come Back Little Sheba,Play,2008,1,Winter
1/13/08,297402,537173,0.5536,62.74,226.5,4740,6240,0.76,The Seafarer,Play,2008,1,Winter
1/13/08,218471,456768,0.4783,54.71,175,3993,5472,0.73,The 25Th Annual Putnam County Spelling Bee,Play,2008,1,Winter
1/13/08,377829,808782,0.4672,68,251.25,5556,8640,0.643,Chicago,Musical,2008,1,Winter
1/13/08,366273,639722,0.5726,64.04,226.5,5719,8656,0.661,The Homecoming,Play,2008,1,Winter
1/13/08,704242,1192560,0.5905,72.78,251.25,9676,11984,0.807,Mamma Mia ,Musical,2008,1,Winter
1/13/08,388937,1150989,0.3379,61.67,251.25,6307,13744,0.459,The Color Purple,Musical,2008,1,Winter
1/13/08,278820,699710,0.3985,56.02,201.5,4977,8040,0.619,The Farnsworth Invention,Play,2008,1,Winter
1/13/08,1400269,1308816,1.0699,98.74,300,14181,14472,0.98,Wicked,Musical,2008,1,Winter
1/13/08,922053,906936,1.0167,76.56,251.5,12044,12024,1.002,The Little Mermaid,Musical,2008,1,Winter
1/13/08,294854,524507,0.5622,76.99,251.5,3830,6643,0.577,A Bronx Tale,Play,2008,1,Winter
1/13/08,1024955,1232795,0.8314,84.32,251.25,12156,13232,0.919,The Lion King,Musical,2008,1,Winter
